Year,"Biomass (Bagasse, Wood)",Biogas,Black Coal,Brown Coal,Geothermal,Hydro,Large-scale Solar PV,Natural Gas,Oil Products,Other,Small-scale solar PV,Wind,Total Renewable,Total Non-Renewable,Total Electricity
1990,750.0,0.0,87573.0,33594.0,0.0,14880.0,0.0,14359.0,3552.0,0.0,0.0,0.0,15630.0,139078.0,154708.0
1991,769.0,0.0,89511.0,36048.0,0.0,16103.0,0.0,10772.0,3396.0,0.0,0.0,0.0,16872.0,139727.0,156599.0
1992,670.0,0.0,94325.1,34559.0,0.0,15768.0,0.0,11633.0,2362.0,0.0,10.9,0.0,16448.9,142879.1,159328.0
1993,670.0,0.0,97872.7,33248.0,0.0,16953.0,0.0,12295.0,2421.0,0.0,13.3,0.0,17636.3,145836.7,163473.0
1994,670.0,0.0,100544.1,34890.0,0.0,16649.0,0.0,12199.0,2320.0,0.0,15.9,4.0,17338.9,149953.1,167292.0
1995,670.0,53.0,102522.1,35832.0,0.0,16239.0,0.0,14913.0,2738.0,0.0,18.9,7.0,16987.9,156005.1,172993.0
1996,670.0,258.0,106089.6,39427.0,0.0,15731.0,0.0,12445.0,2805.0,0.0,23.4,7.0,16689.4,160766.6,177456.0
1997,670.0,295.0,109452.2,41893.0,0.0,16852.0,0.0,11426.0,2175.0,0.0,27.8,7.0,17851.8,164946.2,182798.0
1998,670.0,359.0,116969.5,46633.0,0.0,15733.0,0.0,12934.0,1821.0,0.0,33.5,8.0,16803.5,178357.5,195161.0
1999,674.0,459.0,118586.3,49703.0,0.0,16563.0,0.0,16001.0,1729.0,0.0,37.7,28.0,17761.7,186019.3,203781.0
2000,685.0,449.0,123833.5,50200.0,0.0,16720.0,0.0,16245.0,1784.0,0.0,43.5,58.0,17955.5,192062.5,210018.0
2001,633.0,12.0,134264.0,52223.0,0.0,16933.0,0.0,17271.0,2044.0,0.0,50.0,210.0,17838.0,205802.0,223640.0
2002,669.0,281.0,116774.7,56493.0,0.0,16054.0,0.0,31730.0,2446.0,0.0,58.3,364.0,17426.3,207443.7,224870.0
2003,826.6,757.0,115296.6,55160.3,0.0,16490.0,0.0,29375.3,1661.0,1792.2,58.3,703.1,18834.999999999996,203285.40000000002,222120.4
2004,1058.2,741.3,121182.3,55572.8,0.5,16331.1,0.0,30919.4,1388.7,1817.0,68.1,705.0,18904.199999999997,210880.2,229784.40000000002
2005,3237.0,593.0,127788.5,53377.8,0.5,15612.2,0.0,23802.9,2841.0,434.0,77.8,885.0,20405.5,208244.19999999998,228649.69999999998
2006,3268.0,643.0,130231.6,54552.8,0.5,16029.2,0.0,22725.9,3058.0,517.0,90.3,1713.1,21744.1,211085.30000000002,232829.40000000002
2007,3316.0,637.0,132368.5,54375.8,0.5,14517.0,0.0,31849.9,2893.0,479.0,104.7,2611.1,21186.3,221966.19999999998,243152.5
2008,3737.0,859.0,129569.3,54658.7,0.5,12056.9,0.0,34955.8,4058.0,106.0,122.8,3093.1,19869.3,223347.8,243217.1
2009,1763.4,1031.8,127270.5,56981.4,0.5,11869.4,0.0,37660.4,3387.9,0.0,155.6,3823.797,18644.497,225300.19999999998,243944.697
2010,1761.8,1015.6,123724.5,56068.3,0.5,13548.7,0.0,44587.8,3106.8,0.0,424.8,5051.709,21803.109,227487.39999999997,249290.509
2011,1077.0,1024.7,116948.8,55298.1,0.5,16806.7,0.0,48996.7,3093.8,0.0,1530.5,6084.891,26524.291,224337.39999999997,250861.691
2012,1606.306,1437.441,116654.3,55067.7,0.5,14083.3,0.0,48571.5,2702.5,0.0,2558.6,6969.828,26655.975,222996.0,249651.975
2013,1714.34,1429.16,111491.1,47555.1,0.5,18269.6,0.0,51053.4,4464.3,0.0,3826.2,7959.6,33199.4,214563.9,247763.30000000002
2014,2053.487,1445.903,106965.495,46076.2,0.5,18420.9,49.678,54393.9,5012.3,0.0,4366.277,10251.939,36588.684,212447.895,249036.579
2015,2353.376,1238.858,107639.4,50970.4,0.6,13445.0,107.221,52916.912,6828.45,0.0,5424.113,11466.485,34035.653000000006,218355.162,252390.815
2016,2493.407,1296.487,114263.032,48827.807,0.215,15318.18,457.212,50536.079,5655.616,0.0,6381.049,12199.498,38146.047999999995,219282.534,257428.582
2017,2251.59,1248.956,118235.959,43594.098,0.502,16284.887,672.397,50459.745,5272.589,0.0,7399.259,12596.985,40454.576,217562.391,258016.967
2018,2258.893,1258.792,121689.29,36021.427,0.0,16020.789,1007.582,53881.669,4820.876,0.0,8922.359,15174.425,44642.84,216413.262,261056.10199999996
2019,2152.237,1343.644,119809.515,34495.245,0.0,15967.281,3732.36,52775.399,4922.945,0.0,11116.163,17711.951,52023.636,212003.10400000002,264026.74
2020,1989.764,1361.866,111860.822,33661.55,0.0,15149.633,7136.107,55216.284,4509.193,0.0,13897.088,20395.885,59930.34299999999,205247.84900000002,265178.192
2021,1992.17,1354.012,106251.414,34060.028,0.0,15199.688,9637.887,49782.93,4661.886,0.0,18079.064,24535.369,70798.19,194756.258,265554.448
2022,1817.451,1372.806,101076.158,32515.636,0.0,17010.891,12569.176,49280.225,4663.996,0.0,22117.45,29107.793,83995.56700000001,187536.015,271531.582
2023,1687.72,1405.074,96173.858,31459.126,0.0,16666.054,16059.82,48865.237,4864.397,0.0,25908.682,31384.874,93112.224,181362.618,274474.842
